Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Send email when quantity is below this level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
1;14196;Rozmiar:select:0;21x30 cm:0;elegant-flight-plakat-21x30-cm;elegant-flight-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/14196_2.jpg; - Graficzna ilustracja przedstawiająca żurawia w kolorach białym i złotym lecącego nad wysoką trawą i górskim krajobrazem;0;0;0;0
1;14196;Rozmiar:select:0;30x40 cm:0;elegant-flight-plakat-30x40-cm;elegant-flight-plakat-30x40-cm;;;;16.260163;0;100;1;0;0;0.1;0;;1;http://localhost/images/14196_2.jpg; - Graficzna ilustracja przedstawiająca żurawia w kolorach białym i złotym lecącego nad wysoką trawą i górskim krajobrazem;0;0;0;0
1;14196;Rozmiar:select:0;50x70 cm:0;elegant-flight-plakat-50x70-cm;elegant-flight-plakat-50x70-cm;;;;56.910569;0;100;1;0;0;0.2;0;;1;http://localhost/images/14196_2.jpg; - Graficzna ilustracja przedstawiająca żurawia w kolorach białym i złotym lecącego nad wysoką trawą i górskim krajobrazem;0;0;0;0
1;14196;Rozmiar:select:0;70x100 cm:0;elegant-flight-plakat-70x100-cm;elegant-flight-plakat-70x100-cm;;;;89.430895;0;100;1;0;0;0.3;0;;1;http://localhost/images/14196_2.jpg; - Graficzna ilustracja przedstawiająca żurawia w kolorach białym i złotym lecącego nad wysoką trawą i górskim krajobrazem;0;0;0;0
2;14194;Rozmiar:select:0;30x40 cm:0;bond-ii-plakat-30x40-cm;bond-ii-plakat-30x40-cm;;;;-0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/14194_2.jpg; - Graficzna ilustracja w kolorze niebieskim przedstawiająca dwa wieloryby w wodzie;0;0;0;0
2;14194;Rozmiar:select:0;50x70 cm:0;bond-ii-plakat-50x70-cm;bond-ii-plakat-50x70-cm;;;;40.650406;0;100;1;0;0;0.1;0;;1;http://localhost/images/14194_2.jpg; - Graficzna ilustracja w kolorze niebieskim przedstawiająca dwa wieloryby w wodzie;0;0;0;0
2;14194;Rozmiar:select:0;70x100 cm:0;bond-ii-plakat-70x100-cm;bond-ii-plakat-70x100-cm;;;;73.170732;0;100;1;0;0;0.2;0;;1;http://localhost/images/14194_2.jpg; - Graficzna ilustracja w kolorze niebieskim przedstawiająca dwa wieloryby w wodzie;0;0;0;0
3;14200;Rozmiar:select:0;30x40 cm:0;winters-day-plakat-30x40-cm;winters-day-plakat-30x40-cm;;;;-0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/14200_2.jpg; - Graficzna ilustracja przedstawiająca górski krajobraz i księżyc odbijające się w lustrze jeziora;0;0;0;0
3;14200;Rozmiar:select:0;50x70 cm:0;winters-day-plakat-50x70-cm;winters-day-plakat-50x70-cm;;;;40.650406;0;100;1;0;0;0.1;0;;1;http://localhost/images/14200_2.jpg; - Graficzna ilustracja przedstawiająca górski krajobraz i księżyc odbijające się w lustrze jeziora;0;0;0;0
4;3464;Rozmiar:select:0;21x30 cm:0;winter-morning-plakat-21x30-cm;winter-morning-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/3464_2.jpg; – Ilustracja graficzna z czarnym drzewem na pierwszym planie i ciemnożółtym słońcem na beżowym tle;0;0;0;0
