Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Send me an email when the quantity is under this level;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories  (x,y,z...)
14196;1;Elegant Flight Plakat;Plakaty,Rozmiary,30x40 cm,50x70 cm;39.84;1;;;;;;;14196;;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Grafika z żurawiem - Graficzna ilustracja przedstawiająca żurawia w kolorach białym i złotym lecącego nad wysoką trawą i górskim krajobrazem;									Graficzna ilustracja przedstawiająca żurawia w kolorach białym i złotym (bez pozłacanej folii) lecącego nad wysoką trawą oraz góry w tle. Ten piękny plakat nada odpowiedni kolor wnętrzu i odświeży Twój dom. ;Plakaty,Rozmiary,30x40 cm,50x70 cm;Elegant Flight Plakat;elegant, flight, plakat, grafika, z, żurawiem, desenio.pl;Elegant Flight Plakat  - Graficzna ilustracja przedstawiająca żurawia w kolorach białym i złotym lecącego nad wysoką trawą i górskim krajobrazem - Desenio.pl;elegant-flight-plakat;W Magazynie.;Brak w magazynie;0;;;1;http://localhost/images/14196_2.jpg; - Graficzna ilustracja przedstawiająca żurawia w kolorach białym i złotym lecącego nad wysoką trawą i górskim krajobrazem;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
14200;1;Winters Day Plakat;Plakaty,Rozmiary,30x40 cm,50x70 cm,Natura i krajobrazy,Góry,Krajobrazy;56.1;1;;;;;;;14200;;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Grafika z odbiciem góry w wodzie - Graficzna ilustracja przedstawiająca górski krajobraz i księżyc odbijające się w lustrze jeziora;									Graficzna ilustracja przedstawiająca górski krajobraz w kolorach niebieskim, białym i złotym (bez pozłacanej folii) oraz czerwony księżyc za górą, która odbija się w lustrze jeziora. Sztuka graficzna z kolorowymi detalami doskonale nadaje się do salonu, w którym prace artystyczne mają stanowić główny element! ;Plakaty,Rozmiary,30x40 cm,50x70 cm,Natura i krajobrazy,Góry,Krajobrazy;Winters Day Plakat;winters, day, plakat, grafika, z, odbiciem, góry, w, wodzie, desenio.pl;Winters Day Plakat  - Graficzna ilustracja przedstawiająca górski krajobraz i księżyc odbijające się w lustrze jeziora - Desenio.pl;winters-day-plakat;W Magazynie.;Brak w magazynie;0;;;1;http://localhost/images/14200_2.jpg; - Graficzna ilustracja przedstawiająca górski krajobraz i księżyc odbijające się w lustrze jeziora;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
14194;1;Bond II Plakat;Plakaty,Rozmiary,50x70 cm;56.1;1;;;;;;;14194;;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Grafika z wielorybami - Graficzna ilustracja w kolorze niebieskim przedstawiająca dwa wieloryby w wodzie;									Ilustração gráfica de duas baleias com padrões, a nadar no oceano, com um cé a branco e dourado de fundo. Arte gráfica é um must em qualquer casa, e que adiciona cor e um toque moderno! ;Plakaty,Rozmiary,50x70 cm;Bond II Plakat;bond, ii, plakat, grafika, z, wielorybami, desenio.pl;Bond II Plakat  - Graficzna ilustracja w kolorze niebieskim przedstawiająca dwa wieloryby w wodzie - Desenio.pl;bond-ii-plakat;W Magazynie.;Brak w magazynie;0;;;1;http://localhost/images/14194_2.jpg; - Graficzna ilustracja w kolorze niebieskim przedstawiająca dwa wieloryby w wodzie;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
3464;1;Winter Morning Plakat;Plakaty,Rozmiary,21x30 cm,30x40 cm,40x50 cm,50x70 cm,70x100 cm;39.84;1;;;;;;;3464;;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Grafika przedstawiająca wschód słońca – Ilustracja graficzna z czarnym drzewem na pierwszym planie i ciemnożółtym słońcem na beżowym tle;									Grafika artystyczna z ciemnożółtym słońcem za czarnym drzewem na beżowym tle. Ekspresyjna, choć stylowa reprodukcja odpowiednia do każdego pomieszczenia. Przetarte kolory nadają temu obrazowi niepowtarzalny wygląd, dzięki czemu wszystko jest jeszcze bardziej interesujący! ;Plakaty,Rozmiary,21x30 cm,30x40 cm,40x50 cm,50x70 cm,70x100 cm;Winter Morning Plakat;winter, morning, plakat, grafika, przedstawiająca, wschód, słońca, desenio.pl;Winter Morning Plakat  – Ilustracja graficzna z czarnym drzewem na pierwszym planie i ciemnożółtym słońcem na beżowym tle - Desenio.pl;winter-morning-plakat;W Magazynie.;Brak w magazynie;0;;;1;http://localhost/images/3464_2.jpg; – Ilustracja graficzna z czarnym drzewem na pierwszym planie i ciemnożółtym słońcem na beżowym tle;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
12494;1;Watercolor Kiss Plakat;Plakaty,Rozmiary,21x30 cm,30x40 cm,50x70 cm,70x100 cm;15.45;1;;;;;;;12494;;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Akwarelowa para – Czarno-biała akwarelowa ilustracja kobiety całującej mężczyznę w policzek;									Akwarela z dwoma osobami, z których jedna całuje drugą w policzek, w czarnym kolorze, na białym tle. Ten słodki motyw jest idealny dla kochającej się pary! Stwórz ciepły i kochający dom wypełniony sztuką i wybierz obrazy, które pokazują, co do siebie czujecie. Znajdź więcej obrazów w kategorii Ilustracje!									;Plakaty,Rozmiary,21x30 cm,30x40 cm,50x70 cm,70x100 cm;Watercolor Kiss Plakat;watercolor, kiss, plakat, akwarelowa, para, desenio.pl;Watercolor Kiss Plakat  – Czarno-biała akwarelowa ilustracja kobiety całującej mężczyznę w policzek - Desenio.pl;watercolor-kiss-plakat;W Magazynie.;Brak w magazynie;0;;;1;http://localhost/images/12494_2.jpg; – Czarno-biała akwarelowa ilustracja kobiety całującej mężczyznę w policzek;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
12695;1;Abstract Figures No2 Plakat;Plakaty,Rozmiary,21x30 cm,30x40 cm,50x70 cm,70x100 cm;39.84;1;;;;;;;12695;;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Grafika geometryczna z pocałunkiem – Abstrakcyjna ilustracja z dwiema osobami narysowanymi w stylu grafik geometrycznych, całującymi się w objęciach;									Abstrakcyjna ilustracja w stylu grafik geometrycznych z dwiema całującymi się osobami w uścisku, narysowana w czarnym kolorze na beżowym tle. Grafiki geometryczne zostają z nami na dobre, a wraz z obrazem Abstract Figures No1 lub Abstract Figures No3 stworzysz doskonałą kompozycję! ;Plakaty,Rozmiary,21x30 cm,30x40 cm,50x70 cm,70x100 cm;Abstract Figures No2 Plakat;abstract, figures, no2, plakat, grafika, geometryczna, z, pocałunkiem, desenio.pl;Abstract Figures No2 Plakat  – Abstrakcyjna ilustracja z dwiema osobami narysowanymi w stylu grafik geometrycznych, całującymi się w objęciach - Desenio.pl;abstract-figures-no2-plakat;W Magazynie.;Brak w magazynie;0;;;1;http://localhost/images/12695_2.jpg; – Abstrakcyjna ilustracja z dwiema osobami narysowanymi w stylu grafik geometrycznych, całującymi się w objęciach;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
12694;1;Abstract Figures No1 Plakat;Plakaty,Rozmiary,21x30 cm,30x40 cm,50x70 cm,70x100 cm;39.84;1;;;;;;;12694;;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Grafika geometryczna z sylwetką ludzką – Grafika geometryczna z abstrakcyjną sylwetką ludzką, narysowana w czarnym kolorze na beżowym tle;									Abstrakcyjna grafika geometryczna z sylwetką ludzką w kolorze czarnym na beżowym tle, z tekstem u góry i u dołu. Jeśli chcesz, żeby Twój dom był ciągle modny, grafiki geometryczne to podstawa! Dopasuj ten obraz do motywu Abstract Figures No2 albo Abstract Figures No3, aby uzyskać idealnie dobraną parę. ;Plakaty,Rozmiary,21x30 cm,30x40 cm,50x70 cm,70x100 cm;Abstract Figures No1 Plakat;abstract, figures, no1, plakat, grafika, geometryczna, z, sylwetką, ludzką, desenio.pl;Abstract Figures No1 Plakat  – Grafika geometryczna z abstrakcyjną sylwetką ludzką, narysowana w czarnym kolorze na beżowym tle - Desenio.pl;abstract-figures-no1-plakat;W Magazynie.;Brak w magazynie;0;;;1;http://localhost/images/12694_2.jpg; – Grafika geometryczna z abstrakcyjną sylwetką ludzką, narysowana w czarnym kolorze na beżowym tle;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
12126;1;Almost Kiss Plakat;Plakaty,Rozmiary,13x18 cm,21x30 cm,30x40 cm,40x50 cm,50x70 cm,70x100 cm,100x150 cm,Czarno-białe;15.45;1;;;;;;;12126;;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Grafiki geometryczne z twarzami – Czarno-biała grafika geometryczna z dwiema twarzami zbliżającymi się do pocałunku;									Grafika geometryczna z dwiema twarzami zbliżającymi się do pocałunku, w czarnym kolorze, na białym tle. Jeśli lubisz na minimalistyczny styl, ten abstrakcyjny obraz może się okazać po prostu idealnym wyborem! Wraz z innymi ilustracjami lub grafikami ze świata mody możesz stworzyć wymarzoną ścianę z obrazami.									;Plakaty,Rozmiary,13x18 cm,21x30 cm,30x40 cm,40x50 cm,50x70 cm,70x100 cm,100x150 cm,Czarno-białe;Almost Kiss Plakat;almost, kiss, plakat, grafiki, geometryczne, z, twarzami, desenio.pl;Almost Kiss Plakat  – Czarno-biała grafika geometryczna z dwiema twarzami zbliżającymi się do pocałunku - Desenio.pl;almost-kiss-plakat;W Magazynie.;Brak w magazynie;0;;;1;http://localhost/images/12126_2.jpg; – Czarno-biała grafika geometryczna z dwiema twarzami zbliżającymi się do pocałunku;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
11339;1;Smoking in Paris Plakat;Plakaty,Rozmiary,21x30 cm,30x40 cm,40x50 cm,50x70 cm,70x100 cm,100x150 cm,Czarno-białe;39.84;1;;;;;;;11339;;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Paryski papieros – Czarno-białe zdjęcie kobiety w zbyt dużej koszuli, palącej papierosa w oknie;									Czarno-białe zdjęcie kobiety ubranej w koszulę, palącej papierosa w oknie. Zdjęcie jest częścią kolekcji „Studio Cosmopolitan”, w ramach której zespół Desenio Design Studio udał się w podróż do miast świata, aby uchwycić ich piękno. ;Plakaty,Rozmiary,21x30 cm,30x40 cm,40x50 cm,50x70 cm,70x100 cm,100x150 cm,Czarno-białe;Smoking in Paris Plakat;smoking, in, paris, plakat, paryski, papieros, desenio.pl;Smoking in Paris Plakat  – Czarno-białe zdjęcie kobiety w zbyt dużej koszuli, palącej papierosa w oknie - Desenio.pl;smoking-in-paris-plakat;W Magazynie.;Brak w magazynie;0;;;1;http://localhost/images/11339_2.jpg; – Czarno-białe zdjęcie kobiety w zbyt dużej koszuli, palącej papierosa w oknie;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
11331;1;Walking in Paris Plakat;Plakaty,Rozmiary,21x30 cm,30x40 cm,40x50 cm,50x70 cm,70x100 cm,Czarno-białe;39.84;1;;;;;;;11331;;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Spacer po Paryżu – Czarno-białe zdjęcie kobiety spacerującej z parasolem pod Wieżą Eiffla;									Czarno-białe zdjęcie kobiety w sukience, idącej obok lamp ulicznych, z parasolem, pod Wieżą Eiffla. Miasto miłości budzi podziw wielu osób, a zdjęcie do tego obrazu zostało zrobione przez Desenio Design Studio w Paryżu. ;Plakaty,Rozmiary,21x30 cm,30x40 cm,40x50 cm,50x70 cm,70x100 cm,Czarno-białe;Walking in Paris Plakat;walking, in, paris, plakat, spacer, po, paryżu, desenio.pl;Walking in Paris Plakat  – Czarno-białe zdjęcie kobiety spacerującej z parasolem pod Wieżą Eiffla - Desenio.pl;walking-in-paris-plakat;W Magazynie.;Brak w magazynie;0;;;1;http://localhost/images/11331_2.jpg; – Czarno-białe zdjęcie kobiety spacerującej z parasolem pod Wieżą Eiffla;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
