Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Send me an email when the quantity is under this level;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories  (x,y,z...)
CAL0001;1;Abstract Art Calendar;Kalendarze na 2021 rok;161.788618;1;;;;;;;CAL0001;abstract-art-calendar;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Kalendarz ścienny – Kalendarz ścienny z 12 abstrakcyjnymi ilustracjami na każdy miesiąc roku;Kalendarz ścienny z ilustracjami abstrakcyjnymi. Nasze kalendarze ścienne w edycji limitowanej zawierają plakaty na każdy miesiąc. Dzięki temu kalendarz można powiesić na ścianie, a po zakończeniu miesiąca można go łatwo przekształcić w plakat, delikatnie usuwając jego dolną część.<br /><br />Plakaty wydrukowane z białym obramowaniem, które podkreśla kompozycję.<br /><br />;Kalendarze na 2021 rok;Abstract Art Calendar;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;abstract-art-calendar;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/CAL0001.jpg; – Kalendarz ścienny z 12 abstrakcyjnymi ilustracjami na każdy miesiąc roku;1;Wymiary całkowite: 30 x 48 cm,Wymiary plakatu: 30 x 40 cm;0;new;0;0;0;0;0;;;;;0;0;0;0;
CAL0002;1;Botanical Art Calendar;Kalendarze na 2021 rok;161.788618;1;;;;;;;CAL0002;botanical-art-calendar;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Kalendarz ścienny– Kalendarz ścienny z botanicznymi ilustracjami kwiatów i roślin na każdy miesiąc roku;Artystyczny kalendarz ścienny z botanicznymi ilustracjami przedstawiającymi kwiaty i rośliny. Nasze limitowane kalendarze ścienne zawierają piękne motywy, które można przekształcić w plakaty po zakończeniu danego miesiąca. Po prostu delikatnie usuń dolną część, a otrzymasz nowy plakat.<br /><br />Plakaty wydrukowane z białym obramowaniem, które podkreśla kompozycję.<br /><br />;Kalendarze na 2021 rok;Botanical Art Calendar;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;botanical-art-calendar;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/CAL0002.jpg;– Kalendarz ścienny z botanicznymi ilustracjami kwiatów i roślin na każdy miesiąc roku;1;Wymiary całkowite: 30 x 48 cm,Wymiary plakatu: 30 x 40 cm;0;new;0;0;0;0;0;;;;;0;0;0;0;
CAL0003;1;Kids Art Calendar;Kalendarze na 2021 rok;161.788618;1;;;;;;;CAL0003;kids-art-calendar;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Kalendarz ścienny – Kalendarz ścienny z 12 ilustracjami przedstawiającymi zwierzęta na każdy miesiąc roku;Artystyczny kalendarz ścienny dla dzieci, z ilustracjami zwierząt. Kalendarz w edycji limitowanej idealnie się sprawdzi w pokoju dziecięcym! 12 uroczych ilustracji można przekształcić w plakaty po tym, jak dany miesiąc się skończy. Wystarczy delikatnie usunąć dolną część i gotowe!<br /><br />Plakaty wydrukowane z białym obramowaniem, które podkreśla kompozycję.<br /><br />;Kalendarze na 2021 rok;Kids Art Calendar;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;kids-art-calendar;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/CAL0003.jpg; – Kalendarz ścienny z 12 ilustracjami przedstawiającymi zwierzęta na każdy miesiąc roku;1;Wymiary całkowite: 30 x 48 cm,Wymiary plakatu: 30 x 40 cm;0;new;0;0;0;0;0;;;;;0;0;0;0;
15257;1;Calendar 2021 B&W Plakat;Kalendarze na 2021 rok;56.097561;1;;;;;;;15257;calendar-2021-bw-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Kalendarz miesięczny – Czarno-biały kalendarz na 2021 rok z widokiem miesięcy;Czarno-biały kalendarz z widokiem miesięcy. Zaplanuj 2021 rok za pomocą tego kalendarza z widokiem miesięcy. Czyste wzornictwo i minimalistyczny wygląd sprawiają, że pasuje on do wszystkich wnętrz w dowolnym stylu. To świetny sposób na łatwy wgląd w nadchodzący rok.<br /><br />;Kalendarze na 2021 rok;Calendar 2021 B&W Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;calendar-2021-bw-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/15257_2.jpg; – Czarno-biały kalendarz na 2021 rok z widokiem miesięcy;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
15258;1;Calendar 2021 Plakat;Kalendarze na 2021 rok;56.097561;1;;;;;;;15258;calendar-2021-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Kalendarz na 2021 rok – Czarno-biały kalendarz z widokiem miesięcy, na 2021 rok;Kalendarz na 2021 rok, z widokiem miesięcy. Ten kalendarz jest zarówno artystyczny, jak i przydatny, jeśli lubisz planować z wyprzedzeniem. Spraw, aby każdy dzień stał się był nieco łatwiejszy dzięki wglądowi w wydarzenia, które na nas czekają, a wszystko to z zachowaniem eleganckiego i stylowego wyglądu.<br /><br />;Kalendarze na 2021 rok;Calendar 2021 Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;calendar-2021-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/15258_2.jpg; – Czarno-biały kalendarz z widokiem miesięcy, na 2021 rok;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
15259;1;Golden Oak Plakat;Holiday Collection;15.447154;1;;;;;;;15259;golden-oak-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Liście dębu – Ilustracja z liśćmi dębu i żołędziami w kolorach zielonym i złotym na zielonym tle;Ilustracja z zielonymi liśćmi i żołędziami ze złotymi detalami (bez złotej folii), na zielonym tle z filtrem tekstury. Poczuj świąteczną atmosferę dzięki plakatom na sezon zimowy. Nasza zimowo-świąteczna kolekcja Holiday Collection jest idealnym wyborem, jeśli chcesz stworzyć przytulną atmosferę w swoim domu.<br /><br />Plakat wydrukowany z białym obramowaniem, które ładnie podkreśla kompozycję.<br /><br />;Holiday Collection;Golden Oak Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;golden-oak-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/15259_2.jpg; – Ilustracja z liśćmi dębu i żołędziami w kolorach zielonym i złotym na zielonym tle;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
15260;1;Peace Dove Plakat;Holiday Collection;15.447154;1;;;;;;;15260;peace-dove-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Biały gołąb – Ilustracja z białym gołąbkiem pokoju i liśćmi w kolorach złotym i czarnym na zielonym tle;Ilustracja z białym gołębiem otoczonym czarnymi i złotymi liśćmi (bez złotej folii), na zielonym tle z teksturowanym filtrem. Spraw, aby Twój dom stał się przytulny i gotowy na święta Bożego Narodzenia dzięki plakatom z naszej świątecznej kolekcji Holiday Collection.<br /><br />Plakat wydrukowany z białym obramowaniem, które ładnie podkreśla kompozycję.<br /><br />;Holiday Collection;Peace Dove Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;peace-dove-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/15260_2.jpg; – Ilustracja z białym gołąbkiem pokoju i liśćmi w kolorach złotym i czarnym na zielonym tle;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
15261;1;Holiday Tree Plakat;Holiday Collection;15.447154;1;;;;;;;15261;holiday-tree-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Grafika geometryczna przedstawiająca drzewo – Ilustracja w stylu grafik geometrycznych z choinką bożonarodzeniową ze złotymi ozdobami na zielonym tle;Ilustracja z abstrakcyjną choinką ze złotymi ornamentami (bez złotej folii), na zielonym tle z teksturowanym filtrem. Przygotuj swój dom na święta dzięki naszej świątecznej kolekcji Holiday Collection i sezonowym plakatom na zimę.<br /><br />Plakat wydrukowany z białym obramowaniem, które ładnie podkreśla kompozycję.<br /><br />;Holiday Collection;Holiday Tree Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;holiday-tree-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/15261_2.jpg; – Ilustracja w stylu grafik geometrycznych z choinką bożonarodzeniową ze złotymi ozdobami na zielonym tle;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
15262;1;Golden Ornament Plakat;Holiday Collection;15.447154;1;;;;;;;15262;golden-ornament-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Złoty ornament – Ilustracja z zielono-złotą bańką świąteczną na białym sznureczku, na zielonym tle;Ilustracja z bańką na choinkę w kolorze zielonym ze złotymi liśćmi (bez złotej folii), na białym sznureczku z kokardką, na zielonym tle z teksturowanym filtrem. Dzięki kolekcji świątecznej Holiday Collection Twój dom będzie w ciągu kilku chwil gotowy na święta.<br /><br />Plakat wydrukowany z białym obramowaniem, które ładnie podkreśla kompozycję.<br /><br />;Holiday Collection;Golden Ornament Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;golden-ornament-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/15262_2.jpg; – Ilustracja z zielono-złotą bańką świąteczną na białym sznureczku, na zielonym tle;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
15263;1;Winter Deer Plakat;Holiday Collection;15.447154;1;;;;;;;15263;winter-deer-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Jeleń – Zdjęcie jelenia widzianego z przodu, z dużym porożem, na beżowym tle;Zdjęcie brązowego jelenia z dużym porożem, na beżowym tle. To wspaniałe stworzenie idealnie nadaje się na plakat z przesłaniem na ścianie. Może też wraz z innymi plakatami z naszej kolekcji świątecznej Holiday Collection stworzyć zimową atmosferę.<br /><br />Plakat wydrukowany z białym obramowaniem, które ładnie podkreśla kompozycję.<br /><br />;Holiday Collection;Winter Deer Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;winter-deer-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/15263_2.jpg; – Zdjęcie jelenia widzianego z przodu, z dużym porożem, na beżowym tle;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
