Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Send email when quantity is below this level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
1;CAL0001;Rozmiar:select:0;30x48 cm:0;abstract-art-calendar-30x48-cm;abstract-art-calendar-30x48-cm;;;;-0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/CAL0001.jpg; – Kalendarz ścienny z 12 abstrakcyjnymi ilustracjami na każdy miesiąc roku;0;0;0;0
2;CAL0002;Rozmiar:select:0;30x48 cm:0;botanical-art-calendar-30x48-cm;botanical-art-calendar-30x48-cm;;;;-0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/CAL0002.jpg;– Kalendarz ścienny z botanicznymi ilustracjami kwiatów i roślin na każdy miesiąc roku;0;0;0;0
3;CAL0003;Rozmiar:select:0;30x48 cm:0;kids-art-calendar-30x48-cm;kids-art-calendar-30x48-cm;;;;-0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/CAL0003.jpg; – Kalendarz ścienny z 12 ilustracjami przedstawiającymi zwierzęta na każdy miesiąc roku;0;0;0;0
4;15257;Rozmiar:select:0;30x40 cm:0;calendar-2021-bw-plakat-30x40-cm;calendar-2021-bw-plakat-30x40-cm;;;;-0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/15257_2.jpg; – Czarno-biały kalendarz na 2021 rok z widokiem miesięcy;0;0;0;0
4;15257;Rozmiar:select:0;50x70 cm:0;calendar-2021-bw-plakat-50x70-cm;calendar-2021-bw-plakat-50x70-cm;;;;40.650406;0;100;1;0;0;0.1;0;;1;/var/www/html/images/15257_2.jpg; – Czarno-biały kalendarz na 2021 rok z widokiem miesięcy;0;0;0;0
5;15258;Rozmiar:select:0;30x40 cm:0;calendar-2021-plakat-30x40-cm;calendar-2021-plakat-30x40-cm;;;;-0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/15258_2.jpg; – Czarno-biały kalendarz z widokiem miesięcy, na 2021 rok;0;0;0;0
5;15258;Rozmiar:select:0;50x70 cm:0;calendar-2021-plakat-50x70-cm;calendar-2021-plakat-50x70-cm;;;;40.650406;0;100;1;0;0;0.1;0;;1;/var/www/html/images/15258_2.jpg; – Czarno-biały kalendarz z widokiem miesięcy, na 2021 rok;0;0;0;0
6;15259;Rozmiar:select:0;13x18 cm:0;golden-oak-plakat-13x18-cm;golden-oak-plakat-13x18-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/15259_2.jpg; – Ilustracja z liśćmi dębu i żołędziami w kolorach zielonym i złotym na zielonym tle;0;0;0;0
6;15259;Rozmiar:select:0;21x30 cm:0;golden-oak-plakat-21x30-cm;golden-oak-plakat-21x30-cm;;;;24.390244;0;100;1;0;0;0.1;0;;1;/var/www/html/images/15259_2.jpg; – Ilustracja z liśćmi dębu i żołędziami w kolorach zielonym i złotym na zielonym tle;0;0;0;0
6;15259;Rozmiar:select:0;30x40 cm:0;golden-oak-plakat-30x40-cm;golden-oak-plakat-30x40-cm;;;;48.780488;0;100;1;0;0;0.2;0;;1;/var/www/html/images/15259_2.jpg; – Ilustracja z liśćmi dębu i żołędziami w kolorach zielonym i złotym na zielonym tle;0;0;0;0
